,aliMallSeller,anony,appendComment,appendComment.commentId,appendComment.commentTime,appendComment.content,appendComment.days,appendComment.pics,appendComment.reply,attributes,attributesMap,aucNumId,auctionPicUrl,auctionPrice,auctionSku,auctionTitle,buyCount,carServiceLocation,cmsSource,displayRatePic,displayRateSum,displayUserLink,displayUserNick,displayUserNumId,displayUserRateLink,dsr,fromMall,fromMemory,gmtCreateTime,goldUser,headExtraPic,id,memberIcon,pics,picsSmall,position,rateContent,rateDate,reply,sellerId,serviceRateContent,structuredRateList,tamllSweetLevel,tmallSweetPic,tradeEndTime,tradeId,useful,userIdEncryption,userInfo,userVipLevel,userVipPic
0,False,False,,,2018-04-03 01:33:26,鞋码比正常码数至少大一码，提醒鞋友注意，特别是脚面较宽者感觉不合适此款，球鞋相对包裹很好，以致于必须穿薄袜子才契合！,1.0,['//img.alicdn.com/bao/uploaded/i2/0/TB2b8xEiACWBuNjy0FaXXXUlXXa_!!0-rate.jpg'],,,,,,,颜色分类:黑/黑/煤黑/白;鞋码:42,,0,,天猫,,0,,西***晕,,,0.0,True,0,1522588140000,True,,344888626364,,,,,此用户没有填写评论!,2018-04-01 21:09:00,,890482188,,[],0,,1522588122000,,True,,,0,
1,False,False,,,,,,,,,,,,,颜色分类:黑/黑/煤黑/白;鞋码:46,,0,,天猫,,0,,t***9,,,0.0,True,0,1522633821000,False,,344945403539,,['//img.alicdn.com/bao/uploaded/i3/0/TB2_sp0chuTBuNkHFNRXXc9qpXa_!!0-rate.jpg'],,,怕小 买了一双46的 还不错 一代就是比2代强,2018-04-02 09:50:21,,890482188,,[],0,,1522479425000,,True,,,0,
2,False,False,,,,,,,,,,,,,颜色分类:100白/白/帆白/浅骨灰/金属银/银灰色;鞋码:41,,0,,天猫,,0,,旖***4,,,0.0,True,0,1522998336000,False,,345416561875,,,,,去年就跟老公一人买了一双，今年有出了纯白款，必须下手！,2018-04-06 15:05:36,,890482188,,[],0,,1522028203000,,True,,,0,
3,False,True,,,,,,,,,,,,,颜色分类:卡其灰/黑/煤黑/浅灰;鞋码:40,,0,,天猫,,0,,我***昂,,,0.0,True,0,1521684771000,False,,343593139767,,"['//img.alicdn.com/bao/uploaded/i2/0/TB2RyhCfeuSBuNjSsplXXbe8pXa_!!0-rate.jpg', '//img.alicdn.com/bao/uploaded/i4/0/TB2EeK1foR1BeNjy0FmXXb0wVXa_!!0-rate.jpg']",,,鞋子和店里买的一样，店里只有黑色，所以到官网来买别的色，配色很好看。,2018-03-22 10:12:51,,890482188,,[],0,,1521684633000,,True,,,0,
4,False,False,,,,,,,,,,,,,颜色分类:黑/黑/白/赛车蓝;鞋码:42,,0,,天猫,,0,,卓***东,,,0.0,True,0,1520558255000,True,,342369346742,,,,,漂亮，主要是脚感好极了！,2018-03-09 09:17:35,,890482188,,[],0,,1520558155000,,True,,,0,
5,False,False,,,2018-04-10 14:44:08,特别容易脏 一穿就黑了 穿着不太好看显脚特别大,33.0,,,,,,,,颜色分类:100白/白/帆白/浅骨灰/金属银/银灰色;鞋码:42.5,,0,,天猫,,0,,橘***啊,,,0.0,True,0,1521773464000,False,,345908327151,,,,,此用户没有填写评论!,2018-03-23 10:51:04,,890482188,,[],0,,1520477464000,,True,,,0,
6,False,False,,,,,,,,,,,,,颜色分类:100白/白/帆白/浅骨灰/金属银/银灰色;鞋码:41,,0,,天猫,,0,,g***丨,,,0.0,True,0,1521686494000,False,,343653839785,,"['//img.alicdn.com/bao/uploaded/i4/0/TB2Wp05ff5TBuNjSspcXXbnGFXa_!!0-rate.jpg', '//img.alicdn.com/bao/uploaded/i1/0/TB2jkh9ff9TBuNjy1zbXXXpepXa_!!0-rate.jpg', '//img.alicdn.com/bao/uploaded/i3/0/TB2WluefeuSBuNjSsziXXbq8pXa_!!0-rate.jpg', '//img.alicdn.com/bao/uploaded/i2/0/TB2iKfzbcj_B1NjSZFHXXaDWpXa_!!0-rate.jpg']",,,中意很久了,2018-03-22 10:41:34,,890482188,,[],0,,1521686368000,,True,,,0,
7,False,False,,,,,,,,,,,,,颜色分类:黑/黑/煤黑/白;鞋码:42,,0,,天猫,,0,,樱***4,,,0.0,True,0,1522243794000,False,,344384353525,,,,,真得买大一号的,2018-03-28 21:29:54,,890482188,,[],0,,1521971437000,,True,,,0,
8,False,False,,,,,,,,,,,,,颜色分类:100白/白/帆白/浅骨灰/金属银/银灰色;鞋码:42,,0,,天猫,,0,,r***9,,,0.0,True,0,1522202415000,True,,344292016560,,,,,男朋友很喜欢,2018-03-28 10:00:15,,890482188,,[],0,,1521722713000,,True,,,0,
9,False,False,,,,,,,,,,,,,颜色分类:黑/黑/白/赛车蓝;鞋码:40,,0,,天猫,,0,,读***影,,,0.0,True,0,1520301682000,False,,342131251918,,"['//img.alicdn.com/bao/uploaded/i2/0/TB2nk7eb1uSBuNjSsziXXbq8pXa_!!0-rate.jpg', '//img.alicdn.com/bao/uploaded/i1/0/TB2NF_9b1SSBuNjy0FlXXbBpVXa_!!0-rate.jpg']",,,现在女孩脚也大.这是女儿喜欢的运动鞋.试穿说大小合适.上脚很舒服.还好现在的运动鞋男女都可以穿.,2018-03-06 10:01:22,,890482188,,[],0,,1520301407000,,True,,,0,
